final_label;count;models
sternocleidomastoid_left;1;totalsegmentator_2.6
sternocleidomastoid_right;1;totalsegmentator_2.6
styloid_process_left;1;totalsegmentator_2.6
styloid_process_right;1;totalsegmentator_2.6
superior_oblique_muscle_left;1;totalsegmentator_2.6
superior_oblique_muscle_right;1;totalsegmentator_2.6
superior_pharyngeal_constrictor;1;totalsegmentator_2.6
superior_rectus_muscle_left;1;totalsegmentator_2.6
superior_rectus_muscle_right;1;totalsegmentator_2.6
supraspinatus;1;totalsegmentator_2.6
temporalis_left;1;totalsegmentator_2.6
temporalis_right;1;totalsegmentator_2.6
third_ventricle;1;totalsegmentator_2.6
thyrohyoid_left;1;totalsegmentator_2.6
thyrohyoid_right;1;totalsegmentator_2.6
thyroid_cartilage;1;totalsegmentator_2.6
tongue;1;totalsegmentator_2.6
trapezius_left;1;totalsegmentator_2.6
trapezius_right;1;totalsegmentator_2.6
ventricle_body_left;1;totalsegmentator_2.6
ventricle_body_right;1;totalsegmentator_2.6
ventricle_frontal_horn_left;1;totalsegmentator_2.6
ventricle_frontal_horn_right;1;totalsegmentator_2.6
ventricle_occipital_horn_left;1;totalsegmentator_2.6
ventricle_occipital_horn_right;1;totalsegmentator_2.6
ventricle_temporal_horn_left;1;totalsegmentator_2.6
ventricle_temporal_horn_right;1;totalsegmentator_2.6
ventricle_trigone_left;1;totalsegmentator_2.6
ventricle_trigone_right;1;totalsegmentator_2.6
vertebrae;1;totalsegmentator_2.6
zygomatic_arch_left;1;totalsegmentator_2.6
zygomatic_arch_right;1;totalsegmentator_2.6
